codid: 1000002
atmid,1,1,1,6,6,6,8,8,8,8,8,8,8,38,-3,-2,-1
0,5.077755E+00,5.975241E+00,5.072902E+00,6.389557E+00,9.480639E+00,6.303527E+00,7.468063E+00,9.966539E+00,5.370285E+00,9.856440E+00,1.123754E+01,7.408434E+00,5.490962E+00,9.635739E+00,5.779800E+00,1.688000E+01,6.341000E+00
-1,7.682438E+00,5.734677E+00,1.843321E+00,5.663824E+00,9.161838E+00,5.905004E+00,6.563478E+00,1.003724E+01,5.331542E+00,8.696017E+00,1.013746E+01,6.936988E+00,4.720389E+00,8.340325E+00,9.127359E+00,1.803171E+01,
-2,1.306745E+01,1.616523E+01,1.645533E+01,1.291385E+01,8.932851E+00,1.374089E+01,1.190173E+01,8.249006E+00,1.476220E+01,9.646054E+00,9.506873E+00,1.339833E+01,1.358621E+01,1.180461E+01,1.784210E+01,,
-3,5.199151E+00,4.653688E+00,8.077294E+00,7.613135E+00,1.108447E+01,6.382064E+00,8.590373E+00,1.096670E+01,5.475618E+00,1.155598E+01,1.139539E+01,6.671638E+00,7.672627E+00,9.242846E+00,,,
38,5.495199E+00,5.557356E+00,7.172598E+00,3.481538E+00,4.293251E+00,3.493295E+00,2.737733E+00,4.071834E+00,4.697339E+00,4.126273E+00,2.621722E+00,2.657138E+00,4.763912E+00,,,,
8,3.800700E+00,4.259110E+00,3.021282E+00,1.325984E+00,4.891388E+00,2.404813E+00,2.288457E+00,5.580058E+00,2.611443E+00,4.846582E+00,6.234903E+00,3.513999E+00,,,,,
8,3.517186E+00,3.020192E+00,5.637614E+00,2.385293E+00,5.505603E+00,1.253626E+00,2.715304E+00,5.448859E+00,2.245959E+00,5.595561E+00,5.043729E+00,,,,,,
8,6.991781E+00,8.025578E+00,8.898078E+00,5.111754E+00,3.174259E+00,5.673212E+00,3.953598E+00,2.653830E+00,6.908727E+00,3.039032E+00,,,,,,,
8,6.659748E+00,8.133804E+00,7.384915E+00,4.271377E+00,1.248812E+00,5.550139E+00,3.141680E+00,2.268820E+00,6.607818E+00,,,,,,,,
8,2.979870E+00,1.741140E+00,3.931408E+00,2.374968E+00,6.511309E+00,1.237289E+00,3.476894E+00,6.758716E+00,,,,,,,,,
8,5.955593E+00,8.222623E+00,8.507818E+00,4.745954E+00,1.295932E+00,5.661330E+00,3.666626E+00,,,,,,,,,,
8,4.140288E+00,5.000020E+00,5.094270E+00,1.227293E+00,3.202942E+00,2.419797E+00,,,,,,,,,,,
6,3.036424E+00,2.613966E+00,4.480352E+00,1.559964E+00,5.473991E+00,,,,,,,,,,,,
6,6.016488E+00,8.085861E+00,7.677203E+00,4.275481E+00,,,,,,,,,,,,,
6,3.488521E+00,4.000533E+00,4.107279E+00,,,,,,,,,,,,,,
1,5.964520E+00,4.761204E+00,,,,,,,,,,,,,,,
1,4.089639E+00,,,,,,,,,,,,,,,,
codid: 1000003
atmid,6,6,6,8,8,8,8,8,8,38,-3,-2,-1
0,8.070416E+00,7.960542E+00,6.714647E+00,8.256342E+00,8.883158E+00,6.287019E+00,6.525315E+00,7.739709E+00,8.753941E+00,8.699926E+00,7.319800E+00,9.205000E+00,7.966100E+00
-1,4.449311E+00,7.694146E+00,7.796771E+00,7.999698E+00,5.139151E+00,8.441824E+00,7.536424E+00,5.061390E+00,7.630162E+00,7.585908E+00,1.189504E+01,1.217336E+01,
-2,1.225572E+01,1.077374E+01,1.060018E+01,9.856243E+00,1.205291E+01,9.652045E+00,1.151222E+01,1.270147E+01,1.190758E+01,1.378008E+01,1.176059E+01,,
-3,8.837539E+00,6.070873E+00,4.789407E+00,6.568752E+00,9.129320E+00,4.165603E+00,4.846021E+00,8.126007E+00,6.759399E+00,6.853403E+00,,,
38,3.449846E+00,3.470598E+00,3.441843E+00,4.732634E+00,3.852138E+00,4.679639E+00,2.662357E+00,2.534672E+00,2.668715E+00,,,,
8,3.368158E+00,1.227922E+00,2.398092E+00,2.242267E+00,2.938080E+00,3.457986E+00,2.759149E+00,3.243314E+00,,,,,
8,1.174074E+00,3.754024E+00,3.870590E+00,4.710946E+00,2.250854E+00,5.009600E+00,3.299566E+00,,,,,,
8,4.013947E+00,2.451962E+00,1.250177E+00,3.569136E+00,4.442288E+00,2.258525E+00,,,,,,,
8,5.322394E+00,2.387656E+00,1.267982E+00,2.709085E+00,5.381308E+00,,,,,,,,
8,1.309548E+00,3.469442E+00,4.382873E+00,3.912083E+00,,,,,,,,,
8,4.513102E+00,1.292929E+00,2.470441E+00,,,,,,,,,,
6,4.274877E+00,1.584445E+00,,,,,,,,,,,
6,3.824419E+00,,,,,,,,,,,,
codid: 1000007
atmid,8,8,8,14,20,12,-3,-2,-1
0,5.407947E+00,4.112476E+00,1.401184E+00,2.841655E+00,2.991729E+00,8.203402E+00,5.250300E+00,8.917400E+00,9.739700E+00
-1,9.241121E+00,7.223575E+00,8.880926E+00,7.419753E+00,1.052626E+01,1.300568E+01,1.226326E+01,1.320537E+01,
-2,1.029525E+01,7.526104E+00,8.225738E+00,8.530773E+00,6.365774E+00,1.547495E+00,1.034822E+01,,
-3,3.426174E+00,6.086997E+00,4.993852E+00,5.567554E+00,4.767942E+00,9.004367E+00,,,
12,9.096965E+00,6.798448E+00,7.453947E+00,7.794322E+00,5.409295E+00,,,,
20,5.108025E+00,3.465587E+00,2.366333E+00,3.375868E+00,,,,,
14,3.955538E+00,1.587700E+00,1.599752E+00,,,,,,
8,4.483488E+00,2.734768E+00,,,,,,,
8,4.143707E+00,,,,,,,,
codid: 1000008
atmid,8,8,8,14,20,12,-3,-2,-1
0,5.408161E+00,4.115029E+00,1.404298E+00,2.840968E+00,2.992530E+00,8.201568E+00,5.249400E+00,8.915100E+00,9.737700E+00
-1,9.235752E+00,7.221736E+00,8.879088E+00,7.417885E+00,1.052421E+01,1.300267E+01,1.225981E+01,1.320234E+01,
-2,1.029082E+01,7.522864E+00,8.221212E+00,8.528122E+00,6.362498E+00,1.547050E+00,1.034578E+01,,
-3,3.428367E+00,6.086328E+00,4.990708E+00,5.566850E+00,4.767949E+00,9.002434E+00,,,
12,9.093112E+00,6.795410E+00,7.449404E+00,7.792184E+00,5.406473E+00,,,,
20,5.107657E+00,3.466256E+00,2.364328E+00,3.375772E+00,,,,,
14,3.954585E+00,1.590704E+00,1.597958E+00,,,,,,
8,4.480173E+00,2.734689E+00,,,,,,,
8,4.140369E+00,,,,,,,,
codid: 1000009
atmid,8,8,8,14,20,12,-3,-2,-1
0,5.379558E+00,4.099446E+00,1.396051E+00,2.830237E+00,2.979304E+00,8.145772E+00,5.218000E+00,8.848800E+00,9.680800E+00
-1,9.150485E+00,7.180587E+00,8.826030E+00,7.367413E+00,1.045891E+01,1.291767E+01,1.217063E+01,1.311561E+01,
-2,1.020775E+01,7.461200E+00,8.161983E+00,8.463914E+00,6.306658E+00,1.534550E+00,1.027272E+01,,
-3,3.418780E+00,6.040109E+00,4.954859E+00,5.530254E+00,4.742364E+00,8.942447E+00,,,
12,9.022670E+00,6.740633E+00,7.399924E+00,7.737365E+00,5.362107E+00,,,,
20,5.076916E+00,3.443334E+00,2.354202E+00,3.358759E+00,,,,,
14,3.919874E+00,1.586770E+00,1.593520E+00,,,,,,
8,4.448269E+00,2.726998E+00,,,,,,,
8,4.093688E+00,,,,,,,,
codid: 1000010
atmid,8,8,8,14,20,12,-3,-2,-1
0,5.358681E+00,4.089340E+00,1.389865E+00,2.820136E+00,2.969578E+00,8.103612E+00,5.192600E+00,8.794800E+00,9.634100E+00
-1,9.082989E+00,7.149467E+00,8.783248E+00,7.328260E+00,1.040603E+01,1.285051E+01,1.209892E+01,1.304471E+01,
-2,1.014505E+01,7.407808E+00,8.106565E+00,8.409515E+00,6.260073E+00,1.522681E+00,1.021331E+01,,
-3,3.411428E+00,6.002532E+00,4.931585E+00,5.499995E+00,4.722281E+00,8.896633E+00,,,
12,8.973084E+00,6.695417E+00,7.356646E+00,7.693691E+00,5.328154E+00,,,,
20,5.056634E+00,3.424080E+00,2.342537E+00,3.343172E+00,,,,,
14,3.895348E+00,1.586918E+00,1.589756E+00,,,,,,
8,4.431868E+00,2.721738E+00,,,,,,,
8,4.059852E+00,,,,,,,,
codid: 1000011
atmid,8,8,8,14,20,12,-3,-2,-1
0,5.355548E+00,4.077466E+00,1.393866E+00,2.814962E+00,2.964824E+00,8.081312E+00,5.181300E+00,8.769500E+00,9.613500E+00
-1,9.051125E+00,7.140682E+00,8.759168E+00,7.311417E+00,1.038253E+01,1.281851E+01,1.206709E+01,1.301244E+01,
-2,1.011780E+01,7.381438E+00,8.079577E+00,8.384016E+00,6.238564E+00,1.518618E+00,1.018577E+01,,
-3,3.413368E+00,5.981699E+00,4.921067E+00,5.486469E+00,4.713079E+00,8.873023E+00,,,
12,8.949575E+00,6.670501E+00,7.332560E+00,7.670855E+00,5.309932E+00,,,,
20,5.052212E+00,3.408732E+00,2.337541E+00,3.335625E+00,,,,,
14,3.888349E+00,1.582154E+00,1.580887E+00,,,,,,
8,4.425285E+00,2.705246E+00,,,,,,,
8,4.046028E+00,,,,,,,,
codid: 1000012
atmid,8,8,8,14,20,12,-3,-2,-1
